Year,Month.x,Avg_traffic_volume,MY,Report Year,Month.y,Weather Condition,total,...6,Clear_days,Clear_prop
2017,07,62275.62944,2017_07,2017,07,Clear,2,1,1,0.5
2017,10,58340.1593,2017_10,2017,10,Clear,1,1,1,1
2018,01,30542.85645,2018_01,2018,01,Clear,3,1,1,0.3333333333333333
2018,03,62269.29182,2018_03,2018,03,Clear,2,1,1,0.5
2018,04,60504.66967,2018_04,2018,04,Clear,1,1,1,1
2018,05,53684.70569,2018_05,2018,05,Clear,1,1,1,1
2018,06,58634.93636,2018_06,2018,06,Clear,1,1,1,1
2018,11,66558.90153,2018_11,2018,11,Clear,2,1,1,0.5
2018,12,64383.84648,2018_12,2018,12,Clear,4,1,3,0.75
2018,12,64383.84648,2018_12,2018,12,Clear,4,1,3,0.75
2018,12,64383.84648,2018_12,2018,12,Clear,4,1,3,0.75
2019,01,61791.16143,2019_01,2019,01,Clear,1,1,1,1
2019,02,65124.63096,2019_02,2019,02,Clear,1,1,1,1
2019,03,35354.92724,2019_03,2019,03,Clear,2,1,2,1
2019,03,35354.92724,2019_03,2019,03,Clear,2,1,2,1
2019,04,33398.35876,2019_04,2019,04,Clear,3,1,2,0.6666666666666666
2019,04,33398.35876,2019_04,2019,04,Clear,3,1,2,0.6666666666666666
2019,05,36343.22667,2019_05,2019,05,Clear,2,1,1,0.5
2019,06,44530.25,2019_06,2019,06,Clear,1,1,1,1
2019,12,53781.71576,2019_12,2019,12,Clear,1,1,1,1
2020,04,27628.20476,2020_04,2020,04,Clear,1,1,1,1
2021,03,49605.28916,2021_03,2021,03,Clear,1,1,1,1
2021,05,55932.77419,2021_05,2021,05,Clear,1,1,1,1
2021,08,61495.73717,2021_08,2021,08,Clear,1,1,1,1
2021,12,52454.52299,2021_12,2021,12,Clear,3,1,1,0.3333333333333333
2022,01,44289.33856,2022_01,2022,01,Clear,3,1,3,1
2022,01,44289.33856,2022_01,2022,01,Clear,3,1,3,1
2022,01,44289.33856,2022_01,2022,01,Clear,3,1,3,1
2022,02,48910.02653,2022_02,2022,02,Clear,4,1,3,0.75
2022,02,48910.02653,2022_02,2022,02,Clear,4,1,3,0.75
2022,02,48910.02653,2022_02,2022,02,Clear,4,1,3,0.75
2022,03,52868.37465,2022_03,2022,03,Clear,2,1,1,0.5
2022,04,55938.27952,2022_04,2022,04,Clear,1,1,1,1
2022,06,60197.96327,2022_06,2022,06,Clear,2,1,1,0.5
